Epoch,Iteration,Loss,Accuracy,Learning Rate
1,66,0.9878,0.5513,0.000999
1,67,0.9852,0.5547,0.000999
1,68,0.9889,0.5543,0.000999
1,69,0.9873,0.5536,0.000999
1,70,0.9879,0.5541,0.000999
1,71,0.9886,0.5543,0.000999
1,72,0.9883,0.5539,0.000999
1,73,0.9952,0.5515,0.000999
1,74,0.9986,0.5496,0.000999
1,75,1.0,0.5498,0.000999
1,76,1.0036,0.5495,0.000999
1,77,1.0048,0.5481,0.000999
1,78,1.0015,0.5487,0.000999
1,79,1.0043,0.5492,0.000999
1,80,1.0058,0.5475,0.000999
1,81,1.008,0.5484,0.000999
1,82,1.0152,0.5444,0.000999
1,83,1.0161,0.5428,0.000999
1,84,1.0169,0.5426,0.000999
1,85,1.0197,0.5414,0.000999
1,86,1.0208,0.5399,0.000999
1,87,1.0193,0.54,0.000999
1,0,1.032,0.5625,0.000999
1,1,0.985,0.5781,0.000999
1,2,0.9566,0.5729,0.000999
1,3,0.9278,0.5703,0.000999
1,4,0.8952,0.5813,0.000999
1,5,0.9546,0.5677,0.000999
1,6,0.9665,0.567,0.000999
1,7,0.9466,0.5898,0.000999
1,8,0.9675,0.5764,0.000999
1,9,0.9715,0.5719,0.000999
1,10,0.9617,0.5739,0.000999
1,11,0.9726,0.5677,0.000999
1,12,0.9716,0.5697,0.000999
1,13,0.9685,0.5692,0.000999
1,14,0.9788,0.5687,0.000999
1,15,0.9868,0.5605,0.000999
1,16,0.9713,0.5699,0.000999
1,17,0.9652,0.5729,0.000999
1,18,0.983,0.5674,0.000999
1,19,0.991,0.5594,0.000999
1,20,0.9864,0.561,0.000999
1,21,0.9913,0.5568,0.000999
1,22,1.0023,0.5503,0.000999
1,23,1.005,0.5534,0.000999
1,24,1.0067,0.5587,0.000999
1,25,1.0042,0.5565,0.000999
1,26,1.0039,0.5567,0.000999
1,27,1.0042,0.5592,0.000999
1,28,1.0138,0.556,0.000999
1,29,1.0054,0.5604,0.000999
1,30,1.0113,0.5565,0.000999
1,31,1.0138,0.5537,0.000999
1,32,1.0075,0.5587,0.000999
1,33,1.022,0.5524,0.000999
1,34,1.0158,0.5571,0.000999
1,35,1.0163,0.5573,0.000999
1,36,1.0114,0.5625,0.000999
1,37,1.0092,0.5641,0.000999
1,38,1.0091,0.5641,0.000999
1,39,1.0078,0.5648,0.000999
1,40,1.0015,0.5678,0.000998
1,41,1.0031,0.567,0.000998
1,42,0.9975,0.5676,0.000998
1,43,0.9939,0.5689,0.000998
1,44,0.9888,0.5729,0.000998
1,45,0.987,0.5727,0.000998
1,46,0.9874,0.5711,0.000998
1,47,0.9881,0.5697,0.000998
1,48,0.9949,0.5657,0.000998
1,49,0.9942,0.5663,0.000998
1,50,0.9966,0.5637,0.000998
1,51,0.9949,0.5637,0.000998
1,52,0.999,0.5637,0.000998
1,53,0.9993,0.5619,0.000998
1,54,0.9958,0.5642,0.000998
1,55,0.9962,0.5625,0.000998
1,56,0.9941,0.5614,0.000998
1,57,1.0,0.5593,0.000998
1,58,0.9988,0.5599,0.000998
1,59,0.9946,0.5604,0.000998
1,60,0.9916,0.5605,0.000998
1,61,0.9902,0.5595,0.000998
1,62,0.9851,0.5615,0.000998
1,63,0.9844,0.5605,0.000998
1,64,0.9816,0.5615,0.000998
1,65,0.98,0.5625,0.000998
1,66,0.9871,0.5602,0.000998
1,67,0.9873,0.5597,0.000998
1,68,0.9835,0.5607,0.000998
1,69,0.9807,0.5621,0.000998
1,70,0.98,0.5629,0.000998
1,71,0.9777,0.5642,0.000998
1,72,0.9718,0.5668,0.000998
1,73,0.9768,0.5655,0.000998
1,74,0.9766,0.565,0.000998
1,75,0.9747,0.5658,0.000998
1,76,0.9731,0.567,0.000998
1,77,0.9735,0.5673,0.000998
1,78,0.9735,0.5672,0.000998
1,79,0.9741,0.5664,0.000998
1,80,0.9742,0.5652,0.000998
1,81,0.9732,0.5659,0.000998
1,82,0.97,0.5663,0.000998
1,83,0.9738,0.5651,0.000998
1,84,0.9726,0.5654,0.000998
1,85,0.9735,0.5654,0.000998
1,86,0.9725,0.5665,0.000998
1,87,0.973,0.5664,0.000998
